hq,ssoid,srvid,phone,BillAmount,instance
Ajmer,729,1222,8717048902,436.02513199523935,1
Ajmer,281,1220,9311624349,914.7349156806982,1
Ajmer,319,1907,9598372848,802.6658739939091,1
Ajmer,940,1214,7603764086,184.7273444521515,1
Ajmer,181,1220,9955128702,761.5841482666629,1
Ajmer,305,1216,8133784775,366.6564055173228,1
Ajmer,281,1214,9267397375,651.1641713825284,1
Ajmer,586,1222,7927835532,415.24941468375175,1
Ajmer,176,1907,9409573403,562.1228644795402,1
Ajmer,524,1907,9383169976,487.77579442990174,1
Ajmer,888,1216,9995738897,911.9980281625099,1
Ajmer,584,1216,8828128955,458.5687433109093,1
Ajmer,399,1214,9928019066,354.31245798990363,1
Ajmer,999,1219,8523281894,260.6638003298226,1
Ajmer,752,1214,8312315553,756.222884800531,1
Ajmer,599,1219,8424576354,817.3316192468299,1
Ajmer,820,1216,7950732790,142.22575604982117,1
Ajmer,12,1219,8797263907,776.1999363308929,1
Ajmer,991,1220,9323791738,556.1619541543703,1
Ajmer,271,1220,7654917206,195.26132734220204,1
Ajmer,801,1216,8382428773,786.8592998635208,1
Ajmer,584,1220,9211009347,404.27074352975717,1
Ajmer,888,1216,7078042019,200.74342144492482,1
Ajmer,849,1219,8504991617,48.07562006578573,1
Ajmer,507,1219,9789823681,444.29300698693476,1
Ajmer,93,1220,7183723794,731.9390749561471,1
Ajmer,794,1907,7389828775,14.500049439982872,1
Ajmer,880,1220,7154907404,344.26736169623365,1
Ajmer,791,1216,8843724990,694.1248943847567,1
Ajmer,93,1214,8399403056,243.08284710128208,1
Ajmer,433,1220,9951968410,586.9868840117539,1
Ajmer,325,1216,8954316540,240.35791125820361,1
Ajmer,491,1907,9567318231,751.984471030718,1
Ajmer,507,1219,7306619750,738.8509218783926,1
Ajmer,820,1219,8208549639,324.695153777388,1
Ajmer,789,1219,9360912765,4.444599176480968,1
Ajmer,637,1216,8696383236,658.3590736913371,1
Ajmer,995,1219,9644586965,117.35642648561681,1
Ajmer,676,1216,7839889926,129.50416129676805,1
Ajmer,789,1220,8625725852,660.7819387923661,1
Ajmer,319,1222,9078739887,702.9486151540766,1
Ajmer,891,1214,9076260577,270.18775911458323,1
Ajmer,802,1219,7875338174,884.2285211263774,1
Ajmer,507,1222,7446448429,257.8319389042176,1
Ajmer,983,1907,7826471099,570.8829811207404,1
Ajmer,802,1907,7412607150,130.06478131406303,1
Ajmer,10,1907,9497302030,893.5260854604627,1
Ajmer,552,1219,7739073815,673.5954128353237,1
Ajmer,932,1219,8838195632,696.8324564814237,1
Ajmer,802,1907,8396879302,167.19127187003892,1
Ajmer,681,1907,9510111400,841.1266529021291,1
Ajmer,181,1220,8383285735,861.4818975961,1
Ajmer,17,1222,8108857380,636.6039772845791,1
Ajmer,849,1220,8312466453,426.2033502159149,1
Ajmer,608,1219,7385121472,77.14444787948564,1
Ajmer,399,1222,8057763677,383.303100284202,1
Ajmer,305,1214,8920563567,532.5730029158816,1
Ajmer,983,1214,7894414335,169.82881877300673,1
Ajmer,319,1220,7220110448,916.7038232140711,1
Ajmer,888,1219,7904829670,206.95457160258727,1
Ajmer,599,1216,7118894943,325.98773243921636,1
Ajmer,999,1222,9507778021,577.8609806105709,1
Ajmer,524,1222,9531089906,775.0917576203021,1
Ajmer,101,1222,7665751432,840.2674046739127,1
Ajmer,22,1220,8495528163,426.7005658460222,1
Ajmer,325,1214,8916301014,566.784060705182,1
Ajmer,187,1220,7233974778,457.14502508657176,1
Ajmer,524,1219,7253515411,376.459736997143,1
Ajmer,132,1216,7783700152,186.2736803576807,1
Ajmer,369,1222,7466608282,713.953030113743,1
Ajmer,202,1220,8752461656,237.8184469758699,1
Ajmer,281,1220,7172256814,44.59647720128375,1
Ajmer,18,1214,7009697004,20.129979742730924,1
Ajmer,441,1907,7734686398,596.1884883665606,1
Ajmer,281,1216,8245306995,44.72954562983024,1
Ajmer,676,1907,7580739523,881.4921278403488,1
Ajmer,759,1214,7943944682,698.0161069496393,1
Ajmer,281,1216,8717048902,142.24981608783997,1
Ajmer,657,1216,8109890071,541.4929349774346,1
Ajmer,794,1219,8789589453,120.23235609594637,1
Ajmer,99,1216,9975882801,879.2984326273638,1
Ajmer,101,1216,8921834643,888.4265007509946,1
Ajmer,305,1222,7171657634,535.1143956544536,1
Ajmer,202,1222,7802218039,559.2645546394999,1
Ajmer,729,1216,7614332029,760.8934530081222,1
Ajmer,676,1216,7233974778,437.4252151890103,1
Ajmer,101,1214,8024886221,56.64761326254362,1
Ajmer,273,1222,7406967169,345.61097035361865,1
Ajmer,18,1220,9661261671,137.7160512328322,1
Ajmer,273,1907,8242509411,282.75045820628884,1
Ajmer,999,1216,7603764086,348.9522749479551,1
Ajmer,305,1216,7802218039,870.0164272297956,1
Ajmer,53,1219,8141518419,683.3667981970652,1
Ajmer,891,1222,9384389033,142.55997536763223,1
Ajmer,564,1214,8770572546,125.56942314291999,1
Ajmer,880,1222,7559927098,140.10712105113453,1
Ajmer,433,1907,8721147044,498.3267645522771,1
Ajmer,441,1219,8258268785,525.7955699574709,1
Ajmer,564,1907,7603764086,296.09172577181266,1
Ajmer,173,1216,9363680946,416.38391336534187,1
Ajmer,670,1220,7235976699,15.637677497387124,1
Ajmer,999,1219,9843000559,425.6752802752414,1
Ajmer,281,1220,7990719035,267.8462531888922,1
Ajmer,323,1222,8429853594,592.7539739425879,1
Ajmer,847,1220,9363680946,418.7665639898324,1
Ajmer,12,1907,8750950718,8.52382456619598,1
Ajmer,281,1907,7211123851,17.094859989869747,1
Ajmer,187,1219,7698054184,560.3570845982011,1
Ajmer,608,1907,7009697004,534.9201685546097,1
Ajmer,794,1222,7951517595,73.48862679361928,1
Ajmer,670,1907,9346224326,502.3729270965094,1
Ajmer,586,1222,9170278920,115.0589813135471,1
Ajmer,789,1907,7751128849,373.7297542218391,1
Ajmer,728,1219,7680871252,137.50651735231378,1
Ajmer,10,1222,7183723794,521.9175185411126,1
Ajmer,932,1214,9850942732,368.8968827088067,1
Ajmer,637,1220,9550031347,738.102782401713,1
Ajmer,275,1222,9651347189,763.8623045159951,1
Ajmer,752,1214,7904829670,143.84602065083186,1
Ajmer,18,1219,8985327892,426.55310792853646,1
Ajmer,983,1907,9401040911,541.353817407118,1
Ajmer,820,1214,9465521779,789.6440635322728,1
Ajmer,64,1222,8165344495,66.4959192707196,1
Ajmer,80,1214,9955128702,424.04585116253236,1
Ajmer,12,1216,7624549305,632.8411637594013,1
Ajmer,820,1220,9598372848,128.45076761534148,1
Ajmer,273,1214,9424489087,804.6224292785283,1
Ajmer,608,1214,8258268785,294.4592592447993,1
Ajmer,731,1216,7371953881,302.0262516545958,1
Ajmer,323,1214,9752243738,47.21298504987277,1
Ajmer,637,1907,8165344495,769.7744175207943,1
Ajmer,983,1214,7535784467,521.9931316715213,1
Ajmer,977,1219,8041399895,51.88681886126376,1
Ajmer,64,1222,8833160242,410.1876039773441,1
Ajmer,584,1219,9346224326,574.7786448231375,1
Ajmer,213,1216,8765856603,313.42834154343535,1
Ajmer,670,1220,8164887267,47.302177592743206,1
Ajmer,583,1214,7147693446,62.46509836789983,1
Ajmer,180,1214,7630798018,651.3656900200234,1
Ajmer,552,1216,9102888875,4.713010345804141,1
Ajmer,53,1222,7389828775,843.3039989957981,1
Ajmer,728,1216,9923460723,894.3304471175198,1
Ajmer,891,1214,8834137235,70.2880355763576,1
Ajmer,802,1216,7818481015,99.17135507533638,1
Ajmer,880,1216,7725749796,52.47967194307053,1
Ajmer,369,1222,7034496293,84.80590685433924,1
Ajmer,847,1214,9923460723,610.5647702419493,1
Ajmer,202,1907,7927835532,456.4457990456449,1
Ajmer,599,1214,9119169635,327.9505583411117,1
Ajmer,802,1216,9377763368,264.7090197433341,1
Ajmer,791,1907,7183723794,823.3289419940902,1
Ajmer,637,1907,8920563567,543.8553802103288,1
Ajmer,271,1220,9903475831,208.0291466064201,1
Ajmer,891,1220,8838195632,299.92633876045176,1
Ajmer,578,1220,8190366524,453.9899488792465,1
Ajmer,584,1216,8598425368,646.6216724592075,1
Ajmer,64,1222,9396201164,324.7305881522455,1
Ajmer,80,1907,7362553485,216.24098264124729,1
Ajmer,583,1219,9486345242,37.90753861518532,1
Ajmer,564,1222,9356886130,239.19854432026753,1
Ajmer,794,1220,8916301014,881.1828799339702,1
Ajmer,608,1907,9954869720,482.19872972840324,1
Ajmer,830,1216,8750003126,340.0606635959788,1
Ajmer,12,1907,7275828865,644.8499681405376,1
Ajmer,519,1219,7078042019,51.578609779714654,1
Ajmer,22,1219,9391444350,499.66994879291246,1
Ajmer,583,1222,9644586965,117.36471096523883,1
Ajmer,847,1222,8190366524,861.5805660681906,1
Ajmer,327,1214,9164381963,359.9406998623421,1
Ajmer,546,1220,9595998302,923.772353234546,1
Ajmer,891,1219,7824725263,237.46474015476474,1
Ajmer,273,1220,8399403056,261.94080387154867,1
Ajmer,507,1907,8998372396,342.502349681481,1
Ajmer,327,1219,9112363437,735.3641533794314,1
Ajmer,173,1216,9178062262,846.9055224674976,1
Ajmer,991,1216,9146989938,18.06439998073779,1
Ajmer,849,1222,7951517595,895.9829266927651,1
Ajmer,181,1222,8840801206,448.33654248954724,1
Ajmer,507,1907,8482165440,648.9057208615732,1
Ajmer,117,1219,9528943263,400.18412424729576,1
Ajmer,93,1222,9102888875,848.7750044547653,1
Ajmer,794,1220,8939936786,644.2327743877752,1
Ajmer,115,1214,9540490711,166.16557472574775,1
Ajmer,176,1907,8522420373,665.3216986638047,1
Ajmer,202,1219,7614332029,343.42836959603443,1
Ajmer,599,1220,7947645220,420.7823980007032,1
Ajmer,552,1214,9163994884,214.00831156681934,1
Ajmer,888,1219,7680871252,488.73261039326144,1
Ajmer,132,1216,8765856603,90.57557308845504,1
Ajmer,275,1220,9552158553,457.6984944995495,1
Ajmer,93,1220,9069242824,435.9368866876776,1
Ajmer,932,1219,9618428947,877.6469217086292,1
Ajmer,433,1222,7253515411,421.49548870863026,1
Ajmer,791,1216,8495528163,107.06458996428336,1
Ajmer,441,1220,7673212705,256.3609181849977,1
Ajmer,676,1907,9292810782,189.10166795846763,1
Ajmer,53,1222,9022480462,170.31679643138537,1
Ajmer,402,1907,7847181245,519.6152198011979,1
Ajmer,872,1222,7614252746,147.4473970041452,1
Ajmer,433,1219,9595998302,5.846172053779481,1
Ajmer,202,1220,9533960621,270.4175930620276,1
Ajmer,176,1222,8448158137,461.1790523810311,1
Ajmer,93,1214,7368897069,693.5247200423605,1
Ajmer,599,1907,7264724106,428.80783342837196,1
Ajmer,369,1907,9997308005,666.1715795493775,1
Ajmer,791,1222,9667880467,774.9891347382649,1
Ajmer,10,1216,9550031347,836.3222186516887,1
Ajmer,820,1219,9397394943,316.9776299904784,1
Ajmer,681,1222,9598372848,218.66641412630142,1
Ajmer,433,1907,8444216918,774.7657447582834,1
Ajmer,940,1220,9424489087,37.75431297987355,1
Ajmer,507,1907,9363680946,400.3960205212705,1
Ajmer,583,1222,8682118611,455.4242636459593,1
Ajmer,524,1219,7968351072,259.22727047652023,1
Ajmer,437,1216,8920563567,928.1279372286392,1
Ajmer,271,1219,8598425368,318.63568291899253,1
Ajmer,977,1220,8194218851,722.9244491619266,1
Ajmer,90,1219,7630798018,727.5446173600672,1
Ajmer,728,1220,7739073815,911.5019317798021,1
Ajmer,729,1216,7825544610,159.34321859385867,1
Ajmer,789,1220,8833160242,418.788936183928,1
Ajmer,637,1214,7465248155,912.1844108465441,1
Ajmer,583,1216,8907508301,865.7100751303393,1
Ajmer,327,1222,7398886116,531.8717566465491,1
Ajmer,399,1216,9273681381,694.5581083353648,1
Ajmer,305,1219,8916301014,314.52687433298826,1
Ajmer,503,1214,8190366524,591.7179959269603,1
Ajmer,64,1214,8476485097,567.1287214968456,1
Ajmer,820,1214,9995738897,485.8472281756043,1
Ajmer,187,1219,9764754551,836.8396070927786,1
Ajmer,789,1220,8021422438,890.5609966195035,1
Ajmer,519,1222,7654917206,303.2705937306938,1
Ajmer,789,1907,9358405253,123.97763105681273,1
Ajmer,328,1216,7153942838,275.1810008092632,1
Ajmer,325,1219,8203781552,145.51032048618822,1
Ajmer,681,1220,8057763677,577.6786090540003,1
Ajmer,670,1219,9517967777,38.42228007474821,1
Ajmer,202,1220,8140692195,517.4316013144825,1
Ajmer,731,1907,8190382243,705.8291029377574,1
Ajmer,10,1214,7222316221,687.4640606492653,1
Ajmer,552,1907,8508941741,661.5158418817725,1
Ajmer,173,1219,9997308005,573.4029185864616,1
Ajmer,17,1219,7412607150,54.941526158472634,1
Ajmer,180,1907,9391444350,422.85720378885856,1
Ajmer,932,1222,8708019265,3.063901792448699,1
Ajmer,22,1907,9897464828,193.8486707863973,1
Ajmer,444,1219,7025759301,734.716054974341,1
Ajmer,90,1214,9114558875,87.6700638337062,1
Ajmer,849,1220,7801586469,620.9282829820254,1
Ajmer,752,1216,7624549305,348.07095852420434,1
Ajmer,586,1222,7021755011,732.1159054286362,1
Ajmer,132,1222,7200391566,417.2576857218979,1
Ajmer,999,1222,9358405253,423.02087037198396,1
Ajmer,983,1220,8732970220,711.1857039279903,1
Ajmer,596,1222,9975882801,543.2016383431829,1
Ajmer,524,1216,7520025818,422.7040069984182,1
Ajmer,820,1219,9102888875,880.3866729059632,1
Ajmer,731,1214,7818481015,349.4646703151744,1
Ajmer,437,1219,7235976699,260.42899227078374,1
Ajmer,12,1216,8396879302,326.84636220003205,1
Ajmer,977,1216,8152126303,405.9076493321278,1
Ajmer,173,1216,7620514691,587.5061521937741,1
Ajmer,259,1214,9106470251,466.89897535569406,1
Ajmer,22,1907,9955128702,684.7168320301547,1
Ajmer,601,1907,7817541095,147.05567620699694,1
Ajmer,891,1222,7073210320,188.50916265547647,1
Ajmer,635,1216,7725749796,610.5149791750725,1
Ajmer,888,1220,8488221726,177.87803077132511,1
Ajmer,323,1214,8498970809,206.9163997975849,1
Ajmer,932,1214,9860902550,665.5419338323377,1
Ajmer,399,1216,7140452800,312.53360189742676,1
Ajmer,584,1216,9170278920,698.714127667865,1
Ajmer,325,1907,9163994884,614.4076067885111,1
Ajmer,731,1216,8424576354,476.1155588019268,1
Ajmer,583,1907,9065840502,748.0343341793721,1
Ajmer,273,1907,8777516275,680.9600862480581,1
Ajmer,601,1214,8916301014,243.94454803365272,1
Ajmer,101,1222,8529051242,553.1649960471743,1
Ajmer,433,1216,7614079019,333.7491221795491,1
Ajmer,64,1214,8037082603,149.4583723097163,1
Ajmer,325,1219,8834137235,339.65780999101605,1
Ajmer,259,1216,8512886734,433.9450159740877,1
Ajmer,180,1219,8164887267,8.879560519263494,1
Ajmer,305,1216,7698054184,541.2950318038747,1
Ajmer,132,1222,8804951276,614.1578944966001,1
Ajmer,999,1214,9510111400,420.4450752928887,1
Ajmer,181,1214,9553976999,71.8598756188102,1
Ajmer,583,1222,9533960621,266.51687433566224,1
Ajmer,90,1220,7970885261,356.5053744451523,1
Ajmer,880,1214,9499137872,301.6810629425367,1
Ajmer,132,1220,8742407161,169.08588947223387,1
Ajmer,93,1222,9713373567,448.90538793257207,1
Ajmer,22,1222,9752243738,118.65816659353784,1
Ajmer,519,1219,8241576505,815.0344949808897,1
Ajmer,271,1222,8721147044,273.8132872137944,1
Ajmer,802,1220,9674591393,19.455724263082157,1
Ajmer,99,1222,7171657634,613.2096645302214,1
Ajmer,10,1907,9540490711,256.71302797065465,1
Ajmer,635,1220,8603026947,248.89242359554635,1
Ajmer,794,1216,7847571288,233.14131212058425,1
Ajmer,259,1907,9733524098,120.45883745243259,1
Ajmer,99,1222,9860902550,466.55788806380104,1
Ajmer,101,1220,8913802830,428.31918680826107,1
Ajmer,830,1216,8488221726,173.62638963197506,1
Ajmer,681,1219,9396902984,38.64293755847073,1
Alwar,444,1220,9284724647,419.632671568605,1
Alwar,99,1222,8089363490,1216.3360126752848,1
Alwar,305,1214,8663944829,700.348719132812,1
Alwar,584,1220,9424489087,1050.9487837026738,1
Alwar,608,1214,7673212705,785.4841648543771,1
Alwar,402,1907,7114211063,1901.3409273890697,1
Alwar,328,1907,7847181245,31.07793036470532,1
Alwar,888,1222,8651733487,891.2041868415172,1
Alwar,93,1907,9552158553,592.0952752708924,1
Alwar,880,1907,9396201164,739.5402180456971,1
Alwar,902,1214,7245873443,405.81262702692555,1
Alwar,676,1222,7073210320,1083.3592797581684,1
Alwar,759,1220,8491435036,1178.263780823965,1
Alwar,213,1222,9989236625,1260.2546307608918,1
Alwar,176,1219,8164887267,332.9580695123565,1
Alwar,657,1907,7114211063,526.2406248143399,1
Alwar,849,1214,8119067617,401.7612747905757,1
Alwar,847,1214,8255064422,1234.2258932457426,1
Alwar,491,1214,8945242449,1358.2906693623331,1
Alwar,181,1220,8696383236,1568.2090342219376,1
Alwar,17,1222,9821249097,1515.2886262766606,1
Alwar,599,1216,8424576354,1187.0968013928014,1
Alwar,849,1216,9775121737,406.88799138019857,1
Alwar,728,1219,9042171087,1239.895551108564,1
Alwar,888,1907,9323791738,1008.0222212326033,1
Alwar,608,1216,9250446331,1810.4798458756766,1
Alwar,319,1219,8003833932,497.24818522005074,1
Alwar,323,1220,8523281894,1741.4621762738627,1
Alwar,213,1907,8605369917,1868.6038626741322,1
Alwar,880,1219,8190382243,911.4068775597885,1
Alwar,872,1222,9202408408,757.5100749217379,1
Alwar,503,1214,9383169976,1423.1817151148873,1
Alwar,137,1216,8001905984,1228.4440017197358,1
Alwar,22,1219,9667880467,174.13852182336606,1
Alwar,402,1219,7154907404,939.2978649381159,1
Alwar,584,1907,7823186781,867.0221370862001,1
Alwar,605,1214,8843724990,679.0564653225505,1
Alwar,546,1907,7348234149,1641.1501632170227,1
Alwar,999,1214,8998372396,340.273240986276,1
Alwar,794,1907,8190366524,452.5961439613471,1
Alwar,791,1220,7713263327,542.2806133422613,1
Alwar,637,1907,8537356981,282.2107019830456,1
Alwar,605,1907,8007452128,470.2921202367235,1
Alwar,605,1907,9110444580,63.42156180831334,1
Alwar,18,1222,9409573403,556.6916040308171,1
Alwar,305,1907,8512886734,1134.3447580314023,1
Alwar,137,1219,7865013718,30.620494573781937,1
Alwar,271,1216,9598372848,1156.9926206207776,1
Alwar,888,1214,7818481015,1135.6186056917331,1
Alwar,22,1216,8427743404,579.8908531188767,1
Alwar,802,1222,9661261671,1380.8952557682462,1
Alwar,891,1907,9989236625,1654.4869061206584,1
Alwar,849,1219,7018982924,1221.2166520642945,1
Alwar,507,1220,7633894772,1543.6179046801872,1
Alwar,115,1216,7673006715,1403.4466319303517,1
Alwar,888,1214,7046173947,649.5367508152613,1
Alwar,657,1220,8625725852,440.51912250753844,1
Alwar,327,1216,9618428947,1016.3762618654163,1
Alwar,273,1219,7179627862,542.9195334604236,1
Alwar,583,1214,9567318231,1384.6671165407606,1
Alwar,583,1219,8732970220,204.6276124898857,1
Alwar,271,1222,7824725263,251.2782367417596,1
Alwar,101,1222,9903475831,1852.4271532961866,1
Alwar,676,1222,8119067617,722.3839750512385,1
Alwar,328,1214,9996482186,704.4214654029277,1
Alwar,999,1907,7802025297,737.4881867940904,1
Alwar,849,1216,8472162975,17.189964168490082,1
Alwar,433,1222,9267397375,325.1612777025991,1
Alwar,728,1907,7739073815,1655.4073288737875,1
Alwar,99,1220,9540490711,1511.0655855820223,1
Alwar,433,1219,9743707367,804.9064262427644,1
Alwar,596,1216,8024886221,1873.4743040597402,1
Alwar,578,1219,9547251214,673.0226479115466,1
Alwar,176,1222,7620514691,1326.0993987123954,1
Alwar,22,1216,8396879302,1679.171793053001,1
Alwar,578,1907,7725749796,173.42877945887557,1
Alwar,891,1222,9764754551,593.338919602629,1
Alwar,273,1222,7853578698,388.6646196436283,1
Alwar,271,1222,9550031347,87.47450902830903,1
Alwar,802,1214,8920563567,851.8179286811761,1
Alwar,491,1220,8089363490,670.6843939977014,1
